Run	Number_of_input_reads	Uniquely_mapped_reads_number_Genome	Uniquely_mapped_reads_number_Virus	Library.Name	Age	Tissue	study	BioProject	SRA_Study	Study_Nickname	Age_True	cohort					
SRR25071711	32178289	26516829	558	7B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071710	29682709	22582351	785	8B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071709	27731444	21061807	383	9B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071740	34995348	30204536	1761	10B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071739	39517291	33154811	193	11B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071738	36274085	30630102	176	12B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071737	28346672	24574663	1130	13B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071736	26495326	23273768	1559	14B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071735	26634424	23031478	4306	16B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
SRR25071734	31455568	25990787	22839	17B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.6	27					
SRR25071732	32534372	27352552	158	18B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.6	27					
SRR25071731	25798239	22788344	21846	19B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.6	27					
SRR25071750	30736758	26896436	36	1B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071730	38685182	31734130	7730	20B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071729	40736742	34999640	365	21B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.6	27					
SRR25071728	23789309	19582655	5533	23B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.7	27					
SRR25071727	26905835	23691670	6542	24B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.7	27					
SRR25071726	27024179	23638870	9408	25B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.7	27					
SRR25071725	32204567	27101528	3424	26B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.8	27					
SRR25071749	31058199	28171573	10470	2B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.8	27					
SRR25071748	41848615	34840893	55	3B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071747	43395075	35379273	1536	4B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071746	30619433	26149729	69	5B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071745	27901427	23455689	52	6B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071743	36536820	30832958	95	7B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071742	38489101	33161078	153	8B27L	9	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	9.2	27					
SRR25071741	32427108	27899604	17	9B27L	10	GILL	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_GILL	10.1	27					
